-8  -6.75  1.00245  0.996202  0.491275  0.488072
-5.33333  -4.08333  0.991336  1.00338  0.485714  0.491569
-2.66667  -1.41667  1.00621  1.00042  0.493006  0.490104
0  1.25  1.20835  1.19877  0.591975  0.58729
2.66667  3.91667  0.99964  0.992756  0.489813  0.486448
5.33333  6.58333  0.998744  0.987744  0.489559  0.483961
8  9.25  1.00323  1.00922  0.491556  0.494672
10.6667  11.9167  1.02695  1.01541  0.503426  0.49804
13.3333  14.5833  1.02988  1.0105  0.50497  0.495115
16  17.25  1.01475  1.00805  0.497149  0.49393
18.6667  19.9167  1.0181  1.01184  0.498926  0.495893
21.3333  22.5833  1.02833  1.01338  0.503904  0.496842
24  25.25  1.01283  1.0157  0.496668  0.498044
26.6667  27.9167  1.01283  1.02466  0.498491  0.502352
29.3333  30.5833  1.02647  1.01464  0.503021  0.497342
32  33.25  1.01762  1.01898  0.49865  0.499676
34.6667  35.9167  1.01834  1.02887  0.499529  0.504795
37.3333  38.5833  1.03986  1.02678  0.511075  0.503761
40  41.25  1.02297  1.02549  0.502248  0.503057
42.6667  43.9167  1.03544  1.0293  0.508402  0.505191
45.3333  46.5833  1.03142  1.02817  0.506038  0.504511
48  49.25  1.0357  1.03603  0.508669  0.508944
50.6667  51.9167  1.03548  1.03809  0.50885  0.510578
53.3333  54.5833  1.04104  1.03286  0.511714  0.507608
56  57.25  1.04356  1.03274  0.512208  0.506866
58.6667  59.9167  1.03562  1.03635  0.508832  0.509505
61.3333  62.5833  1.02719  1.04184  0.504969  0.51255
64  65.25  1.04704  1.04423  0.514823  0.513491
66.6667  67.9167  1.03464  1.03643  0.508502  0.509432
69.3333  70.5833  1.02762  1.04409  0.504755  0.513803
72  73.25  1.04326  1.04142  0.512756  0.512307
74.6667  75.9167  1.0508  1.04533  0.516115  0.515146
77.3333  78.5833  1.05121  1.0412  0.517492  0.512516
80  81.25  1.02613  1.04523  0.504609  0.514541
82.6667  83.9167  1.0427  1.04392  0.513536  0.514142
85.3333  86.5833  1.04406  1.04516  0.514025  0.515247
88  89.25  1.04172  1.04369  0.512487  0.514037
90.6667  91.9167  1.03947  1.04078  0.511284  0.512069
93.3333  94.5833  1.04621  1.04691  0.513733  0.516025
96  97.25  1.04537  1.04763  0.514175  0.51619
98.6667  99.9167  1.0424  1.04856  0.512942  0.516736
101.333  102.583  1.04312  1.04084  0.514369  0.512474
104  105.25  1.03622  1.04048  0.51071  0.512314
106.667  107.917  1.04353  1.05  0.513338  0.518198
109.333  110.583  1.04391  1.04911  0.514203  0.517278
112  113.25  1.04276  1.05141  0.514059  0.518432
114.667  115.917  1.04851  1.05443  0.516156  0.520486
117.333  118.583  1.04618  1.05547  0.514978  0.520993
120  121.25  1.05471  1.04918  0.520117  0.517731
122.667  123.917  1.04594  1.0473  0.514384  0.517157
125.333  126.583  1.04459  1.05421  0.514265  0.521434
128  129.25  1.05093  1.04993  0.518007  0.51818
130.667  131.917  1.05936  1.05518  0.521686  0.522103
133.333  134.583  1.05026  1.04759  0.5174  0.517366
136  137.25  1.03997  1.04551  0.511584  0.515348
138.667  139.917  1.04822  1.0535  0.515995  0.520589
141.333  142.583  1.04971  1.06263  0.517203  0.526871
144  145.25  1.05919  1.05597  0.522657  0.523099
146.667  147.917  1.05108  1.05667  0.518186  0.523378
149.333  150.583  1.03962  1.05702  0.512595  0.523049
152  153.25  1.04686  1.05618  0.51624  0.522657
154.667  155.917  1.04398  1.06269  0.514859  0.526314
157.333  158.583  1.04645  1.05533  0.516337  0.521285
160  161.25  1.0533  1.05757  0.51923  0.523464
162.667  163.917  1.05112  1.05935  0.519388  0.526487
165.333  166.583  1.05478  1.06089  0.521788  0.526021
168  169.25  1.05578  1.05315  0.521204  0.522362
170.667  171.917  1.04745  1.04973  0.516686  0.519633
173.333  174.583  1.05692  1.06715  0.519887  0.531259
176  177.25  1.07015  1.06903  0.530375  0.530243
178.667  179.917  1.05398  1.05965  0.51988  0.525982
181.333  182.583  1.04953  1.05968  0.517632  0.525111
184  185.25  1.05311  1.04994  0.519023  0.519375
186.667  187.917  1.05136  1.05404  0.517532  0.521827
189.333  190.583  1.05375  1.06151  0.519432  0.527576
192  193.25  1.05251  1.05482  0.519512  0.523211
194.667  195.917  1.06139  1.05355  0.524218  0.522711
197.333  198.583  1.04982  1.06001  0.517294  0.527435
200  201.25  1.05548  1.059  0.521072  0.525289
202.667  203.917  1.05755  1.05313  0.521698  0.522538
205.333  206.583  1.05951  1.06023  0.522174  0.526104
208  209.25  1.05921  1.06102  0.523528  0.527169
210.667  211.917  1.05991  1.06016  0.523103  0.527202
213.333  214.583  1.0583  1.05413  0.523068  0.522447
216  217.25  1.0429  1.05636  0.513692  0.52463
218.667  219.917  1.05183  1.06067  0.519544  0.52795
221.333  222.583  1.0605  1.06018  0.523798  0.527893
224  225.25  1.0574  1.06348  0.522727  0.52896
226.667  227.917  1.06089  1.06231  0.523393  0.528387
229.333  230.583  1.06186  1.05895  0.523631  0.525355
232  233.25  1.05983  1.05816  0.523572  0.525789
234.667  235.917  1.05867  1.07289  0.523452  0.534592
237.333  238.583  1.05601  1.06682  0.521224  0.531929
240  241.25  1.06016  1.05982  0.522982  0.527051
242.667  243.917  1.0655  1.05773  0.525319  0.524772
245.333  246.583  1.06246  1.06206  0.525008  0.528923
248  249.25  1.05488  1.05889  0.52306  0.526794
250.667  251.917  1.06185  1.06433  0.523707  0.529684
253.333  254.583  1.06426  1.06182  0.524507  0.528238
256  257.25  1.05879  1.06085  0.523274  0.526709
